"country","country_code","region","gdp","life_expectancy","fertility_rate"
"Afghanistan","AFG","South Asia",406.248135549284,60.3744634146341,4.843
"Albania","ALB","Europe & Central Asia",3897.13080006864,77.8304634146342,1.784
"Algeria","DZA","Middle East & North Africa",3390.93284302563,74.8080975609756,2.857
"Antigua and Barbuda","ATG","Latin America & Caribbean",11881.0967620788,75.9376341463415,2.075
"Argentina","ARG","Latin America & Caribbean",7663.72845258611,76.1586097560976,2.322
"Armenia","ARM","Europe & Central Asia",2362.46122337365,74.6757073170732,1.531
"Australia","AUS","East Asia & Pacific",37867.7674145159,82.2512195121951,1.859
"Austria","AUT","Europe & Central Asia",40945.359754573,81.3365853658537,1.44
"Azerbaijan","AZE","Europe & Central Asia",3276.65696989402,70.7632195121951,2
"Bahamas, The","BHS","Latin America & Caribbean",20663.5468655035,75.2336585365854,1.872
"Bahrain","BHR","Middle East & North Africa",17899.2113688448,76.6832682926829,2.056
"Bangladesh","BGD","South Asia",747.3708412425,71.6259024390244,2.175
"Barbados","BRB","Latin America & Caribbean",14456.2616310355,75.4964146341463,1.794
"Belarus","BLR","Europe & Central Asia",4998.28089630097,72.9756097560976,1.62
"Belgium","BEL","Europe & Central Asia",38189.9050405954,80.5878048780488,1.75
"Belize","BLZ","Latin America & Caribbean",4011.56118948185,70.0774390243902,2.579
"Benin","BEN","Sub-Saharan Africa",671.427964727988,59.5105853658537,4.766
"Bhutan","BTN","South Asia",2056.2833352811,69.471243902439,2.027
"Bolivia","BOL","Latin America & Caribbean",1409.74664609492,68.344,2.968
"Bosnia and Herzegovina","BIH","Europe & Central Asia",3499.48953449881,76.433243902439,1.263
